"noun_no","dictionary_stem","stem","gender","noun_type","japanese_translation","english_translation","deponent_singular","deponent_plural","location_name"
"87","βλέννα","βλένν","Feminine","1a","粘液","mucus","0","0","0"
"88","βλασφημία","βλασφημί","Feminine","1a","冒涜","blasphemy","0","0","0"
"89","βλαύτη","βλαύτ","Feminine","1e","スリッパ","slipper","0","0","0"
"90","βληχή","βληχ","Feminine","1e","疫病","blight","0","0","0"
"91","βοή","βο","Feminine","1e","轟音","roar","0","0","0"
"92","βοήθεια","βοήθει","Feminine","1a","援助","aid","0","0","0"
"93","βοείη","βοεί","Feminine","1e","ブー","boo","0","0","0"
"94","βολή","βολ","Feminine","1e","ショット","shot","0","0","0"
"95","βολίζη","βολίζ","Feminine","1e","快適","convenience","0","0","0"
"96","βορά","βορ","Feminine","1a","獲物","prey","0","0","0"
"97","βοτάνη","βοτάν","Feminine","1e","ハーブ","herb","0","0","0"
"98","βουκόρυζα","βουκόρυζ","Feminine","1a","ブコリザ","Bucoryza","0","0","0"
"99","βουλή","βουλ","Feminine","1e","議会","parliament","0","0","0"
"100","βουμελία","βουμελί","Feminine","1a","ブーメラン","boomerang","0","0","0"
"101","βούλλα","βούλλ","Feminine","1a","ブラ","bulla","0","0","0"
"102","βοῦα","βοῦ","Feminine","1a","おお","wow","0","0","0"
"103","βρέγμα","βρέγμ","Feminine","1a","ブレグマ","bregma","0","0","0"
"104","βρία","βρί","Feminine","1a","朝","morning","0","0","0"
"105","βρίζα","βρίζ","Feminine","1a","プラグ","plug","0","0","0"
"106","βρίμη","βρίμ","Feminine","1e","くそ","damn","0","0","0"
"107","βροντή","βροντ","Feminine","1e","サンダー","thunder","0","0","0"
"108","βροχή","βροχ","Feminine","1e","雨","rain","0","0","0"
"109","βυκάνη","βυκάν","Feminine","1e","鯨","whale","0","0","0"
"110","βύνη","βύν","Feminine","1e","麦芽","malt","0","0","0"
"111","βύρσα","βύρσ","Feminine","1a","噴水","fountain","0","0","0"
"112","βύσσα","βύσσ","Feminine","1a","プラグ","plug","0","0","0"
"113","βῆσσα","βῆσσ","Feminine","1a","速度","speed","0","0","0"
"114","γάγγραινα","γάγγραιν","Feminine","1a","壊疽","gangrene","0","0","0"
"115","γάζα","γάζ","Feminine","1a","ガーゼ","gauze","0","0","0"
"116","γάρρα","γάρρ","Feminine","1a","ガラ","garra","0","0","0"
"117","γέεννα","γέενν","Feminine","1a","地獄","hell","0","0","0"
"118","γέννα","γένν","Feminine","1a","誕生","birth","0","0","0"
"119","γέφυρα","γέφυρ","Feminine","1a","橋","bridge","0","0","0"
"120","γαγγίλη","γαγγίλ","Feminine","1e","乱暴な","gangly","0","0","0"
"121","γαλέη","γαλέ","Feminine","1e","ギャレー","galley","0","0","0"
"122","γαλήνη","γαλήν","Feminine","1e","静けさ","serenity","0","0","0"
"123","γαλεάγρα","γαλεάγρ","Feminine","1a","白い","white","0","0","0"
"124","γαμφηλαί","γαμφηλ","Feminine","1e","イタチ","weasels","1","0","0"
"125","γαστροκνημία","γαστροκνημί","Feminine","1a","腓腹筋","gastrocnemius","0","0","0"
"126","γαῖα","γαῖ","Feminine","1a","地球","earth","0","0","0"
"127","γενέτα","γενέτ","Feminine","1a","ジュネ","Genet","0","0","0"
"128","γενεά","γενε","Feminine","1a","世代","generation","0","0","0"
"129","γενεή","γενε","Feminine","1e","世代","generation","0","0","0"
"130","γενεαλογία","γενεαλογί","Feminine","1a","系譜","genealogy","0","0","0"
"131","γενική","γενικ","Feminine","1e","全般的","general","0","0","0"
"132","γεννήτρια","γεννήτρι","Feminine","1a","発生器","generator","0","0","0"
"133","γερουσία","γερουσί","Feminine","1a","上院","senate","0","0","0"
"134","γερροχελώνη","γερροχελών","Feminine","1e","アカウミガメ","loggerhead turtle","0","0","0"
"135","γεωμετρία","γεωμετρί","Feminine","1a","ジオメトリー","geometry","0","0","0"
"136","γεωργία","γεωργί","Feminine","1a","農業","Agriculture","0","0","0"
"137","γλήνη","γλήν","Feminine","1e","グレン","glen","0","0","0"
"138","γλία","γλί","Feminine","1a","スライム","slime","0","0","0"
"139","γλίνη","γλίν","Feminine","1e","粘土","clay","0","0","0"
"140","γλαβρήνη","γλαβρήν","Feminine","1e","グラブリナ","Glabrina","0","0","0"
"141","γλυκυθυμία","γλυκυθυμί","Feminine","1a","甘味","sweetness","0","0","0"
"142","γλυκυσίδη","γλυκυσίδ","Feminine","1e","グリシド","glycyside","0","0","0"
"143","γλυκύρριζα","γλυκύρριζ","Feminine","1a","甘草","licorice","0","0","0"
"144","γλυφή","γλυφ","Feminine","1e","グリフ","glyph","0","0","0"
"145","γλωσσοπέτρα","γλωσσοπέτρ","Feminine","1a","舌石","tongue stone","0","0","0"
"146","γλῶσσα","γλῶσσ","Feminine","1a","言語","language","0","0","0"
"147","γλῶττα","γλῶττ","Feminine","1a","舌","tongue","0","0","0"
"148","γνοτέρα","γνοτέρ","Feminine","1a","黒いホアハウンド","black horehound","0","0","0"
"149","γνώμη","γνώμ","Feminine","1e","意見","opinion","0","0","0"
"150","γονή","γον","Feminine","1e","性腺","gonad","0","0","0"
"151","γονόρροια","γονόρροι","Feminine","1a","淋病","gonorrhea","0","0","0"
"152","γράα","γρά","Feminine","1a","エリュトラ海のペリプラスに記載されている水ヘビの一種","kind of water snake mentioned in the Periplus of the Erythraean Sea","0","0","0"
"153","γραμμή","γραμμ","Feminine","1e","ライン","line","0","0","0"
"154","γραμματική","γραμματικ","Feminine","1e","文法","grammar","0","0","0"
"155","γραφή","γραφ","Feminine","1e","書き込み","writing","0","0","0"
"156","γραφιοθήκη","γραφιοθήκ","Feminine","1e","デスク","desk","0","0","0"
"157","γρούτη","γρούτ","Feminine","1e","グラウト","grout","0","0","0"
"158","γρυμέα","γρυμέ","Feminine","1a","拳","fist","0","0","0"
"159","γρώνη","γρών","Feminine","1e","拳","fist","0","0","0"
"160","γυμνασία","γυμνασί","Feminine","1a","体操","gymnastics","0","0","0"
"161","γόργυρα","γόργυρ","Feminine","1a","ゴルギラ","gorgyra","0","0","0"
"162","γᾶ","γ","Feminine","1a","c","c","0","0","0"
"163","γῆ","γ","Feminine","1e","地球","Earth","0","0","0"
"164","δάρπη","δάρπ","Feminine","1e","贈り物","gift","0","0","0"
"165","δάφνη","δάφν","Feminine","1e","月桂樹","Laurel","0","0","0"
"166","δέρη","δέρ","Feminine","1e","フリース","fleece","0","0","0"
"167","δέσποινα","δέσποιν","Feminine","1a","愛人","mistress","0","0","0"
"168","δίαιτα","δίαιτ","Feminine","1a","ダイエット","diet","0","0","0"
"169","δίκελλα","δίκελλ","Feminine","1a","マトック","mattock","0","0","0"
"170","δίκη","δίκ","Feminine","1e","トライアル","trial","0","0","0"
"171","δίνη","δίν","Feminine","1e","渦","vortex","0","0","0"
"172","δίψα","δίψ","Feminine","1a","渇き","thirst","0","0","0"
"173","δαιτροσύνη","δαιτροσύν","Feminine","1e","悪意","viciousness","0","0","0"
"174","δακτυλιοθήκη","δακτυλιοθήκ","Feminine","1e","リングホルダー","ring holder","0","0","0"
"175","δαμοκρατία","δαμοκρατί","Feminine","1a","民主主義","democracy","0","0","0"
"176","δανάκη","δανάκ","Feminine","1e","税","tax","0","0","0"
"177","δαπάνη","δαπάν","Feminine","1e","支出","expenditure","0","0","0"
"178","δασεῖα","δασεῖ","Feminine","1a","森林","forests","0","0","0"
"179","δείλη","δείλ","Feminine","1e","臆病","timid","0","0","0"
"180","δεδώνη","δεδών","Feminine","1e","デドン","dedon","0","0","0"
"181","δειλία","δειλί","Feminine","1a","臆病","cowardice","0","0","0"
"182","δειπνολογία","δειπνολογί","Feminine","1a","ダイニング","dining","0","0","0"
"183","δειρή","δειρ","Feminine","1e","シャイ","shy","0","0","0"
"184","δελεάστρα","δελεάστρ","Feminine","1a","誘惑する女","temptress","0","0","0"
"185","δενδρομαλάχη","δενδρομαλάχ","Feminine","1e","樹木園","arboretum","0","0","0"
"186","δερματοθήκη","δερματοθήκ","Feminine","1e","革のケース","leather case","0","0","0"
"187","δηγῆ","δηγ","Feminine","1e","ガイド","guide","0","0","0"
"188","δημοκρατία","δημοκρατί","Feminine","1a","民主主義","democracy","0","0","0"
"189","διάνοια","διάνοι","Feminine","1a","マインド","mind","0","0","0"
"190","διάρροια","διάρροι","Feminine","1a","下痢","diarrhea","0","0","0"
"191","διαβολή","διαβολ","Feminine","1e","中傷","slander","0","0","0"
"192","διαγραφή","διαγραφ","Feminine","1e","消す","deletion","0","0","0"
"193","διαθήκη","διαθήκ","Feminine","1e","意思","will","0","0","0"
"194","διακονία","διακονί","Feminine","1a","省","ministry","0","0","0"
"195","διαλεκτική","διαλεκτικ","Feminine","1e","弁証法","dialectic","0","0","0"
"196","διαλογή","διαλογ","Feminine","1e","ふるい分け","screening","0","0","0"
"197","διασπορά","διασπορ","Feminine","1a","分散","dispersion","0","0","0"
"198","διαστολή","διαστολ","Feminine","1e","拡張","expansion","0","0","0"
"199","διατριβή","διατριβ","Feminine","1e","定説","thesis","0","0","0"
"200","διαφθορά","διαφθορ","Feminine","1a","腐敗","corruption","0","0","0"
"201","διαφορά","διαφορ","Feminine","1a","違い","difference","0","0","0"
"202","διαύγεια","διαύγει","Feminine","1a","明瞭さ","clarity","0","0","0"
"203","διδασκαλία","διδασκαλί","Feminine","1a","教える","teaching","0","0","0"
"204","διδαχή","διδαχ","Feminine","1e","教える","teaching","0","0","0"
"205","διθυμία","διθυμί","Feminine","1a","両価性","ambivalence","0","0","0"
"206","δικαιοσύνη","δικαιοσύν","Feminine","1e","正義","justice","0","0","0"
"207","διλοχία","διλοχί","Feminine","1a","スキャンダル","scandal","0","0","0"
"208","διρκαία","διρκαί","Feminine","1a","突然","suddenly","0","0","0"
"209","διφθέρα","διφθέρ","Feminine","1a","ジフテリア","diphtheria","0","0","0"
"210","διχοτομία","διχοτομί","Feminine","1a","二分法","dichotomy","0","0","0"
"211","διωμοσία","διωμοσί","Feminine","1a","迫害","persecution","0","0","0"
"212","δμῳή","δμῳ","Feminine","1e","戦争で捕虜になった女奴隷、女奴隷","female slave taken captive in war, female slave","0","0","0"
"213","δοιή","δοι","Feminine","1e","ドイ","doi","0","0","0"
"214","δοκιμή","δοκιμ","Feminine","1e","テスト","test","0","0","0"
"215","δοκιμασία","δοκιμασί","Feminine","1a","テスト","test","0","0","0"
"216","δοκοθήκη","δοκοθήκ","Feminine","1e","ビームラック","beam rack","0","0","0"
"217","δοξολογία","δοξολογί","Feminine","1a","感謝祭","thanksgiving","0","0","0"
"218","δοξοσοφία","δοξοσοφί","Feminine","1a","ドクソフィア","doxosophia","0","0","0"
"219","δορά","δορ","Feminine","1a","肌","skin","0","0","0"
"220","δορατοθήκη","δορατοθήκ","Feminine","1e","スピアケース","spear case","0","0","0"
"221","δοτική","δοτικ","Feminine","1e","与格","dative","0","0","0"
"222","δουλεία","δουλεί","Feminine","1a","仕事","work","0","0","0"
"223","δούλη","δούλ","Feminine","1e","スレーブ","slave","0","0","0"
"224","δράβη","δράβ","Feminine","1e","描く","draw","0","0","0"
"225","δράγλη","δράγλ","Feminine","1e","浚渫","dredge","0","0","0"
"226","δράκαινα","δράκαιν","Feminine","1a","鬼女","ogress","0","0","0"
"227","δρακοντία","δρακοντί","Feminine","1a","ドラゴン","dragon","0","0","0"
"228","δραματουργία","δραματουργί","Feminine","1a","ドラマツルギー","dramaturgy","0","0","0"
"229","δραχμή","δραχμ","Feminine","1e","ドラクマ","drachma","0","0","0"
"230","δρεπάνη","δρεπάν","Feminine","1e","鎌","sickle","0","0","0"
"231","δυναστεία","δυναστεί","Feminine","1a","王朝","dynasty","0","0","0"
"232","δυσεντερία","δυσεντερί","Feminine","1a","赤痢","dysentery","0","0","0"
"233","δυσθυμία","δυσθυμί","Feminine","1a","気分変調","dysthymia","0","0","0"
"234","δυστυχία","δυστυχί","Feminine","1a","不幸","unhappiness","0","0","0"
"235","δυσφορία","δυσφορί","Feminine","1a","フレット","fret","0","0","0"
"236","δωρεά","δωρε","Feminine","1a","寄付","donation","0","0","0"
"237","δόξα","δόξ","Feminine","1a","栄光","glory","0","0","0"
"238","δύη","δύ","Feminine","1e","昼","noon","0","0","0"
"239","δύσπνοια","δύσπνοι","Feminine","1a","呼吸困難","shortness of breath","0","0","0"
"240","εἰδωλολάτρης","εἰδωλολάτρ","Feminine","1es","異教徒","pagan","0","0","0"
"241","εἰδωλολατρία","εἰδωλολατρί","Feminine","1a","偶像崇拝","idolatry","0","0","0"
"242","εἰκονογραφία","εἰκονογραφί","Feminine","1a","図像学","iconography","0","0","0"
"243","εἰκονομαχία","εἰκονομαχί","Feminine","1a","アレゴリー","allegory","0","0","0"
"244","εἰλαπίνη","εἰλαπίν","Feminine","1e","エラピン","elapin","0","0","0"
"245","εἰρήνη","εἰρήν","Feminine","1e","アイリーン","Irene","0","0","0"
"246","εἰρωνεία","εἰρωνεί","Feminine","1a","アイロニー","irony","0","0","0"
"247","εἰσαγωγή","εἰσαγωγ","Feminine","1e","序章","Introduction","0","0","0"
"248","εἰσβολή","εἰσβολ","Feminine","1e","侵入","invasion","0","0","0"
"249","εἰσφορά","εἰσφορ","Feminine","1a","貢献","contribution","0","0","0"
"250","εἱαμενή","εἱαμεν","Feminine","1e","川沿いの牧草地、水辺の牧草地、低地、ポプラの本拠地として言及されている場所","riverside pasture, water meadow, lowland, place mentioned as the home of the poplar","0","0","0"
"251","εἵλη","εἵλ","Feminine","1e","太陽の熱、太陽の暖かさ","heat of the sun, warmth of the sun","0","0","0"
"252","εὐβουλία","εὐβουλί","Feminine","1a","慈悲","benevolence","0","0","0"
"253","εὐδαιμονία","εὐδαιμονί","Feminine","1a","至福","bliss","0","0","0"
"254","εὐεργεσία","εὐεργεσί","Feminine","1a","好意","favor","0","0","0"
"255","εὐζηλία","εὐζηλί","Feminine","1a","嫉妬","jealousy","0","0","0"
"256","εὐθεῖα","εὐθεῖ","Feminine","1a","真っ直ぐ","straight","0","0","0"
"257","εὐθυμία","εὐθυμί","Feminine","1a","陽気、上機嫌、満足、静けさ","cheerfulness, good mood, contentment, tranquility","0","0","0"
"258","εὐθυντηρία","εὐθυντηρί","Feminine","1a","責任","responsibility","0","0","0"
"259","εὐκινησία","εὐκινησί","Feminine","1a","機敏","agility","0","0","0"
"260","εὐκτική","εὐκτικ","Feminine","1e","共生","euctic","0","0","0"
"261","εὐλή","εὐλ","Feminine","1e","グレース","grace","0","0","0"
"262","εὐλογία","εὐλογί","Feminine","1a","祝福","blessing","0","0","0"
"263","εὐνή","εὐν","Feminine","1e","良い","good","0","0","0"
"264","εὐπαιδευσία","εὐπαιδευσί","Feminine","1a","教育","education","0","0","0"
"265","εὐπορία","εὐπορί","Feminine","1a","繁栄","prosperity","0","0","0"
"266","εὐπραξία","εὐπραξί","Feminine","1a","証書","deed","0","0","0"
"267","εὐρημοσύνη","εὐρημοσύν","Feminine","1e","親切","kindness","0","0","0"
"268","εὐρυθμία","εὐρυθμί","Feminine","1a","リズム","rhythm","0","0","0"
"269","εὐσέβεια","εὐσέβει","Feminine","1a","信仰心","piety","0","0","0"
"270","εὐσχημοσύνη","εὐσχημοσύν","Feminine","1e","幸せ","happiness","0","0","0"
"271","εὐταξία","εὐταξί","Feminine","1a","秩序","orderliness","0","0","0"
"272","εὐτυχία","εὐτυχί","Feminine","1a","幸せ","happiness","0","0","0"
"273","εὐφορία","εὐφορί","Feminine","1a","多幸感","euphoria","0","0","0"
"274","εὐφυΐα","εὐφυΐ","Feminine","1a","知能","intelligence","0","0","0"
"275","εὐχή","εὐχ","Feminine","1e","願い","wish","0","0","0"
"276","εὐχαριστία","εὐχαριστί","Feminine","1a","聖体","Eucharist","0","0","0"
"277","εὐχωλή","εὐχωλ","Feminine","1e","楽しい","pleasant","0","0","0"
"278","εὐψυχία","εὐψυχί","Feminine","1a","勇気","bravery","0","0","0"
"279","εὔνοια","εὔνοι","Feminine","1a","好意","favor","0","0","0"
"280","εὔπνοια","εὔπνοι","Feminine","1a","幸せ","happiness","0","0","0"
"281","ζάλη","ζάλ","Feminine","1e","めまい","dizziness","0","0","0"
"282","ζέρνα","ζέρν","Feminine","1a","ゲルナ","gerna","0","0","0"
"283","ζειά","ζει","Feminine","1a","ライブ","live","0","0","0"
"284","ζειρά","ζειρ","Feminine","1a","ジラ","zira","0","0","0"
"285","ζετραία","ζετραί","Feminine","1a","ゼトレア","Zetrea","0","0","0"
"286","ζεύγλη","ζεύγλ","Feminine","1e","カップル","couple","0","0","0"
"287","ζηλοτυπία","ζηλοτυπί","Feminine","1a","嫉妬","jealousy","0","0","0"
"288","ζημία","ζημί","Feminine","1a","ダメージ","damage","0","0","0"
"289","ζυγία","ζυγί","Feminine","1a","はかり","scales","0","0","0"
"290","ζωή","ζω","Feminine","1e","ゾーイ","Zoe","0","0","0"
"291","ζωγραφία","ζωγραφί","Feminine","1a","ペインティング","painting","0","0","0"
"292","ζωγραφική","ζωγραφικ","Feminine","1e","ペインティング","painting","0","0","0"
"293","ζωθήκη","ζωθήκ","Feminine","1e","生活","livelihood","0","0","0"
"294","ζωπύρα","ζωπύρ","Feminine","1a","ゾピラ","zopyra","0","0","0"
"295","ζύγαινα","ζύγαιν","Feminine","1a","体重を量った","I weighed myself","0","0","0"
"296","ζώνη","ζών","Feminine","1e","ゾーン","zone","0","0","0"
"297","ζῳγραφία","ζῳγραφί","Feminine","1a","お絵かき","drawing","0","0","0"
"298","ζῳγραφική","ζῳγραφικ","Feminine","1e","ペインティング","painting","0","0","0"
"299","θάλασσα","θάλασσ","Feminine","1a","海","sea","0","0","0"
"300","θάλαττα","θάλαττ","Feminine","1a","それは正しい","that's right","0","0","0"
"301","θέα","θέ","Feminine","1a","見る","view","0","0","0"
"302","θέρμη","θέρμ","Feminine","1e","熱意","fervor","0","0","0"
"303","θήκη","θήκ","Feminine","1e","場合","case","0","0","0"
"304","θήρα","θήρ","Feminine","1a","獲物","prey","0","0","0"
"305","θαλασσαίγλη","θαλασσαίγλ","Feminine","1e","カモメ","seagull","0","0","0"
"306","θαλασσοκράμβη","θαλασσοκράμβ","Feminine","1e","コールラビ","kohlrabi","0","0","0"
"307","θαλασσοκρατία","θαλασσοκρατί","Feminine","1a","海上支配","maritime rule","0","0","0"
"308","θαψία","θαψί","Feminine","1a","昏迷","stupor","0","0","0"
"309","θεά","θε","Feminine","1a","見る","view","0","0","0"
"310","θεή","θε","Feminine","1e","女神","goddess","0","0","0"
"311","θεία","θεί","Feminine","1a","叔母","aunt","0","0","0"
"312","θεατροκρατία","θεατροκρατί","Feminine","1a","演劇","theatrics","0","0","0"
"313","θεογονία","θεογονί","Feminine","1a","神学","theogony","0","0","0"
"314","θεοκρατία","θεοκρατί","Feminine","1a","神権政治","theocracy","0","0","0"
"315","θεολογία","θεολογί","Feminine","1a","神学","theology","0","0","0"
"316","θεοπάθεια","θεοπάθει","Feminine","1a","セオパシー","theopathy","0","0","0"
"317","θεοπληξία","θεοπληξί","Feminine","1a","神の一撃","a stroke of god","0","0","0"
"318","θεοσέβεια","θεοσέβει","Feminine","1a","信心深さ","godliness","0","0","0"
"319","θεοσοφία","θεοσοφί","Feminine","1a","神智学","theosophy","0","0","0"
"320","θεραπεία","θεραπεί","Feminine","1a","処理","treatment","0","0","0"
"321","θεωρία","θεωρί","Feminine","1a","仮説","theory","0","0","0"
"322","θηγάνη","θηγάν","Feminine","1e","パン","pan","0","0","0"
"323","θηλή","θηλ","Feminine","1e","乳首","nipple","0","0","0"
"324","θηριακή","θηριακ","Feminine","1e","野獣的な","beastly","0","0","0"
"325","θοίνη","θοίν","Feminine","1e","トーニ","thoni","0","0","0"
"326","θολία","θολί","Feminine","1a","ぼかし","blur","0","0","0"
"327","θρηνῳδία","θρηνῳδί","Feminine","1a","嘆き","lamentation","0","0","0"
"328","θρησκεία","θρησκεί","Feminine","1a","宗教","religion","0","0","0"
"329","θυία","θυί","Feminine","1a","犠牲","Sacrifice","0","0","0"
"330","θυεία","θυεί","Feminine","1a","犠牲","sacrifices","0","0","0"
"331","θυμέλη","θυμέλ","Feminine","1e","チメリ","thymeli","0","0","0"
"332","θυμελαία","θυμελαί","Feminine","1a","香炉","incense burner","0","0","0"
"333","θυσία","θυσί","Feminine","1a","犠牲","sacrifice","0","0","0"
"334","θωή","θω","Feminine","1e","罰金、罰金","fine, penalty","0","0","0"
"335","θύελλα","θύελλ","Feminine","1a","嵐","storm","0","0","0"
"336","θύμβρα","θύμβρ","Feminine","1a","シンブル","thimble","0","0","0"
"337","θύρα","θύρ","Feminine","1a","ドア","door","0","0","0"
"338","θύρη","θύρ","Feminine","1e","港","port","0","0","0"
"339","κάκη","κάκ","Feminine","1e","悪の","evil","0","0","0"
"340","κάκκη","κάκκ","Feminine","1e","悪い","bad","0","0","0"
"341","κάλχη","κάλχ","Feminine","1e","カップ","cup","0","0","0"
"342","κάμπη","κάμπ","Feminine","1e","キャタピラー、カイコ、エルシフォームの飾り、素晴らしいインドの怪物","caterpillar, silkworm, an eruciform ornament, a fabulous Indian monster","0","0","0"
"343","κάμψα","κάμψ","Feminine","1a","バスケットケース","basket, case","0","0","0"
"344","κάννα","κάνν","Feminine","1a","ジャイアントリード、リードマット","giant reed, reed mat","0","0","0"
"345","κάπη","κάπ","Feminine","1e","ケープ","Cape","0","0","0"
"346","κάτα","κάτ","Feminine","1a","猫","cat","0","0","0"
"347","κάττα","κάττ","Feminine","1a","猫","cat","0","0","0"
"348","κέρχνη","κέρχν","Feminine","1e","ケルチ","Kerch","0","0","0"
"349","κέστρα","κέστρ","Feminine","1a","ケスター","kester","0","0","0"
